author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
Theodore Hailperin	A set of axioms for logic	1944	9	1	1-19	primary technical publication	set theory and foundations	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Evert Beth	J. Hessing. Logica als leer van zuivere rede. Eerste deel: Inleiding. (Logik als Lehre reiner Vernunft. Erster Teil: Einführung.) Bussum1941, VIII + 256 S.	1944	9	1	20-20	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Karl Schröter. Ein allgemeiner Kalkülbegriff. Forschungen zur Logik und zur Grundlegung der exakten Wissenschaften, new series, no. 6. Leipzig1941, 43 pp.	1944	9	1	20-20	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Evert Beth	Pieter Talma. Logica en logisliek (Logik und Logistik). Roeping, Bd. 21 Heft 2 (Febr. 1943), S. 77–87.	1944	9	1	20-21	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	Bedřich Pospfšil. Von den Verteilungen auf Booleschen Ringen. Mathematische Annalen, Bd. 118 (1941), S. 32–40.	1944	9	1	21-22	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Evert Beth	D. Van Dantzig. A remark and a problem concerning the intuitionistic form of Cantor's intersection theorem. Nedertandsche Akademie van Wetenschappen, Proceedings of the section of sciences, Bd. 45 Heft 4 (1942), S. 374–375; auch: Indagationes mathematicae, Bd. 4 Heft 2, S. 147-148.	1944	9	1	21-21	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	Th. Skolem. Einfacher Beweis der Unmöglichkeit eines allgemeinen Lösungsverfahrens für arithmetische Probleme. Det Kongelige Norske Videnskabers Selskab, Forhandlinger, Bd. 13 (1940), S. 1–4.	1944	9	1	21-21	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	János Surányi. A logikai függvénykalkulus eldöntés-problémájának redukciójáról (Zur Reduktion des Entscheidungsproblems des logischen Funktionenkalkuls). Ungarisch mit deutschem Auszug. Matematikai és fizikai lapok, Bd. 50 (1943), S. 51–74.	1944	9	1	22-24	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	László Kalmár. A matematikai exaktság fejlödése a szemlélettöl az axiomatikus módszerig (Die Entwicklung der mathematischen Exaktheit von der Anschauung bis zur axiomatischen Methode). Ungarisch. A másik ember felé, az Exodus munkaközösség dolgozatai, 1942, S. 39–58.	1944	9	1	24-25	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Rózsa Péter	László Kalmár. Egyszeril példa eldönthetetlen aritmetikai problémára (Ein einfaches Beispiel für ein unentscheidbares arithmetisches Problem). Ungarisch mit deutschem Auszug. Ebd., S. 1–23.	1944	9	1	24-24	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Author abstract	G. H. Von Wright. Den logiska empirismen. En huvudrikining i modern filosofi. (Logical empiricism. A leading movement in modern philosophy.)Helsingfors1943, 188 pp.	1944	9	1	25-26	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	John R. Reid. Analytic statements in semiosis. Mind, n.s. vol. 52 (1943), pp. 314–330.	1944	9	1	26-27	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Everett J. Nelson	Max Black. The analysis of a simple necessary statement. The journal of philosophy, vol. 40 (1943), pp. 39–46.	1944	9	1	27-28	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	C. I. Lewis. The modes of meaning. English with Spanish abstract. Philosophy and phenomenological research, vol. 4 no. 2 (1943), pp. 236–250.	1944	9	1	28-29	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	David L. Miller. Meaning and verification. The philosophical review, vol. 52 (1943), pp. 604–609.	1944	9	1	30-30	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Homer H. Dubs. Definition and its problems. The philosophical review, vol. 52 (1943), pp. 566–577.	1944	9	1	30-30	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
P. Lagerström	J. C. C. McKinsey. The decision problem for some classes of sentences without quantifiers. The journal of symbolic logic, vol. 8 (1943), pp. 61–76.	1944	9	1	30-31	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
H. E. Vaughan	E. T. Bell. Polynomials on a finite discrete range. Duke mathematical journal, vol. 10 (1943), pp. 33–47.	1944	9	1	31-31	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1944	9	1	31-31	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	Elections	1944	9	1	32-32	association record	editorial/association apparatus				metadata only; full text not reached
	Institutional contributing subscribers to the Journal	1944	9	1	32-32	association record	editorial/association apparatus				metadata only; full text not reached
	Errata	1944	9	1		cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 9 issue 1 Cover and Front matter and Errata	1944	9	1	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
R. L. Goodstein	On the restricted ordinal theorem	1944	9	2	33-41	primary technical publication	set theory and foundations	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
J. C. C. McKinsey	On the number of complete extensions of the Lewis systems of sentential calculus	1944	9	2	42-45	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Ernest Nagel	Alice Ambrose. Self-contradictory suppositions. Mind, n.s. vol. 53 (1944), pp. 48–59.	1944	9	2	46-47	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	Reviews - Everett W. Hall. The extra-linguistic reference of language. Mind, n.s. vol. 52 (1943), pp. 230–246, and n.s. vol. 53 (1944), pp. 25–47.	1944	9	2	46-46	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Carl G. Hempel. A purely syntactical definition of confirmation. The journal of symbolic logic, vol. 8 (1943), pp. 122–143.	1944	9	2	47-47	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Oybtein Ore	N. Dunford and M. H. Stone. On the representation theorem for Boolean algebras.Revista de ciencias (Lima), vol. 43 no. 437 (1941), pp. 447–453.	1944	9	2	47-47	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Alf Ross. Imperatives and logic. Philosophy of science, vol. 11 (1944), pp. 30–46.	1944	9	2	48-48	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	E. T. Whittaker. The new algebras and their significance for physics and philosophy.The London, Edinburgh & Dublin philosophical magazine and journal of science, ser. 7 vol. 35 (1944), pp. 1–15; also Year book of the Royal Society of Edinburgh, 1944, pp. 5-14 (offprint 1943, pp. 1-10).	1944	9	2	48-48	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Julius Kraft	Elizabeth Lane Beardsley. Imperative sentences in relation to indicatives. The philosophical review, vol. 53 (1944), pp. 175–185.	1944	9	2	48-49	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	R. Vaidyanathaswamy. On disjunction in intuitionist logic. Proceedings of the Indian Academy of Sciences, Section A, vol. 17 (1943), pp. 41–45.	1944	9	2	48-48	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church; E. T. Whittaker	The New Algebras and Their Significance for Physics and Philosophy.	1944	9	2	48	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Warren S. McCulloch and Walter Pitts. A logical calculus of the ideas immanent in nervous activity. Bulletin of mathematical biophysics, vol. 5 (1943), pp. 115–133.	1944	9	2	49-50	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	H. D. Landahl, W. S. McCulloch, and Walter Pitts. A statistical consequence of the logical calculus of nervous nets. Bulletin of mathematical biophysics, vol. 5 (1943), pp. 135–137.	1944	9	2	50-50	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	M. H. A. Newmak. Stratified systems of logic. Proceedings of the Cambridge Philosophical Society, vol. 39 (1943), pp. 69–83.	1944	9	2	50-52	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
George D. W. Berry	Nelson Goodman. On the simplicity of ideas. The journal of symbolic logic, vol. 8 (1943), pp. 107–121.	1944	9	2	52-53	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	E. R. Stabler. Boolean representation theory. The American mathematical monthly, vol. 51 (1944), pp. 129–132.	1944	9	2	53-53	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Ernest Nagel	H. M. Johnson. If-then relations in paralogies. Psychological review, vol. 51 (1944), pp. 69–75.	1944	9	2	53-53	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Alonzo Chubch	B. A. Bernstein. Postulate-sets for Boolean rings. Transactions of the American Mathematical Society, vol. 55 (1944), pp. 393–400.	1944	9	2	54-54	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
	Related Citations	1944	9	2	54-56	citation-linkage matter	editorial/association apparatus				metadata only; full text not reached
	JSL volume 9 issue 2 Cover and Front matter and Errata	1944	9	2	f1-f5	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
Frederic B. Fitch	Representations of calculi	1944	9	3	57-62	primary technical publication	unclassified from title metadata	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Ernest Nagel	L. Susan Stebbing. A modern elementary logic. Methuen & Co., London1943, viii + 214 pp.	1944	9	3	63-63	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Alonzo Church	Marvin Farber. The foundation of phenomenology. Edmund Husserl and the guest for a rigorous science of philosophy. Harvard University Press, Cambridge, Mass., 1943, xi + 585 pp.	1944	9	3	63-65	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	Philip Blair Rice. Toward a syntax of valuation. The journal of philosophy, vol. 41 (1944), pp. 309–320.	1944	9	3	65-66	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Max Black	C. J. Ducasse. Propositions, truth, and the ultimate criterion of truth. English with Spanish abstract. Philosophy and phenomenological research, vol. 4 no. 3 (1944), pp. 317–340.	1944	9	3	66-67	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Virgil G. HinshawJr., The pragmatist theory of truth. Philosophy of science, vol. 11 (1944), pp. 82–92.	1944	9	3	67-68	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Frederic B. Fitch	Alfred Tarski. The semantic conception of truth and the foundations of semantics. English with Spanish abstract. Philosophy and phenomenological research, vol. 4 no. 3 (1944), pp. 341–376.	1944	9	3	68-68	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Karl Schröter. Axiomatisierung der Fregeschen Aussagenkalküle. Forschungen zur Logik und zur Grundlegung der exakten Wissenschaften, new series, no. 8. Leipzig1943, 26 pp.	1944	9	3	69-69	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Gerhard Gentzen. Beweisbarkeit und Unbeweisbarkeil von Anfangsfällen der transfiniten Induktion in der reinen Zahlentheorie. Mathematische Annalen, vol. 119 no. 1 (1943), pp. 140–161.	1944	9	3	70-72	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	Heinrich Scholz. Was will die formalisierte Grundlagenforschung?Deutsche Mathematik, vol. 7 no. 2/3 (1943), pp. 206–248.	1944	9	3	70-70	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Frank G. Bruner. Mathematical logic with transfinite types. Planographed. Privately printed and distributed by the author, 1460 East 57th Street, Chicago, 1943, v + 68 pp.	1944	9	3	72-73	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	R. L. Wilder. The nature of mathematical proof. The American mathematical monthly, vol. 51 (1944), pp. 309–323.	1944	9	3	73-73	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
George D. W. Berry	Theodore Hailperin. A set of axioms for logic. The journal of symbolic logic, vol. 9 (1944), pp. 1–19.	1944	9	3	73-74	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
