author	exact_title	publication_year	volume	issue	pages	document_type	subfield	contemporaneous_review_status	technical_depth_availability	target_line_exclusion_status	full_text_status
	JSL volume 14 issue 4 Cover and Front matter	1950	14	4	f1-f6	cover/front/back matter	editorial/association apparatus				metadata only; full text not reached
Frederic B. Fitch	A further consistent extension of basic logic	1950	14	4	209-218	primary technical publication	proof theory and formal systems	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
J. B. Rosser; A. R. Turquette	A note on the deductive completeness of m-valued propositional calculi	1950	14	4	219-225	primary technical publication	model theory and semantics	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
R. M. Martin	A note on nominalistic syntax	1950	14	4	226-227	primary technical publication	philosophy, language, and inductive logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Nelson Goodman	An improvement in the theory of simplicity	1950	14	4	228-229	primary technical publication	unclassified from title metadata	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Sören Halldén	Results concerning the decision problem of Lewis's calculi S3 and S6	1950	14	4	230-236	primary technical publication	propositional, many-valued, and modal logic	in-block contemporaneous review entry immediately identified			metadata only; full text not reached
Paul Bernays	Rudolf Carnap. Meaning and necessity. A study in semantics and modal logic. The University of Chicago Press, Chicago1947, viii + 210 pp.	1950	14	4	237-241	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
A. F. Bausch	E. P. Northrop, R. S. Fouch, I. R. Hershner, S. P. Hughart, W. S. Karush, J. S. Leech, D. M. Merriell, W. H. L. Meyer, H. F. Mist, A. L. Putnam, S. Sherman, G. F. Simmons, E. F. Trombley. Fundamental mathematics. Prepared for the general course Mathematics 1 in the College. Third edition, lithoprinted, vol. 1. The University of Chicago Press, Chicago1948, pp. vi, 1–281. - E. P. Northrop, R. S. Fouch, M. Friedman, S. P. Hughart, W. S. Karush, J. S. Leech, D. M. Merriell, W. H. L. Meyer, E. H. Ostrow, A. L. Putnam, G. F. Simmons, E. F. Trombley. Fundamental mathematics. Prepared for the general course Mathematics 1 in the College. Third edition, lithoprinted, vols. 2 and 3. The University of Chicago Press, Chicago1949, pp. v, 282–533; v, 534–921.	1950	14	4	242-243	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
George L. Kline	L. P. Gokiéli. K problémé aksiomatizacii logiki (On the problem of the axiomatization of logic). Akadémiá Nauk Gruzinskoj SSR, Tiflis 1947, 86 pp. - L. P. Gokiéli. Matématičeskié rukopisi Karla Marksa i voprosy obosnovaniá matématiki (The mathematical manuscripts of Karl Marx and problems of the foundation of mathematics). Akadémiá Nauk Gruzinkoj SSR, Tiflis 1947, 111 pp.	1950	14	4	243-244	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Anders Wedberg	Leonard Nelson. Critical philosophy and mathematical axiomatics. English translation of 3711, 2, by Thomas K. Brown III. Socratic method and critical philosophy, Selected essays by Leonard Nelson, Yale University Press, New Haven1949, pp. 158–184. - Julius Kraft. Introduction. English translation of 3711, 2, by Thomas K. Brown III. Socratic method and critical philosophy, Selected essays by Leonard Nelson, Yale University Press, New Haven1949, pp. ix–xxii.	1950	14	4	244-246	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Kazimierz Ajdukiewicz. Epistemology and semiotic. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 607–609.	1950	14	4	246-247	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Paulette Destouches-Février	Paul Mouy. Logique et philosophie des sciences. Cours de philosophie, publié sous la direction de M. G. Davy. Librairie Hachette, Paris 1944 (réimprimé 1948), 249 pp.	1950	14	4	246-246	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	G. Vaccarino. Dimensions of signs and metascience. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 668–670.	1950	14	4	247-247	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	H.B. Curry. Languages and formal systems. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 770–772.	1950	14	4	247-247	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
J. Barkley Rosser	J. Dopp. La notion d'existence dans la logique moderne. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 735–739.	1950	14	4	247-247	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	J. Kotarbińska. Le physicalisme et les étapes de son évolution. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 636–639.	1950	14	4	247-247	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Maria Kokoszyńska. On a certain condition of a semantical theory of science. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 773–775.	1950	14	4	247-248	review	model theory and semantics	review-of-record entry reached			metadata only; full text not reached
J. Barkley Rosser	P. G. J. Vredenduin. The constructive method. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 749–751.	1950	14	4	247-247	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
J. Barkley Rosser	Robert Feys. L'abstraction en logique formalisée. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 731–734.	1950	14	4	247-247	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	D. Rynin. Meaning and formation rules. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 782–784.	1950	14	4	248-248	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Georg Henrik von Wright. On confirmation. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 794–796.	1950	14	4	248-248	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Sigismond Zawirski. Observations sur la méthode des sciences de la nature. Actes du Xme Congrès International de Philosophie (Amsterdam, 11–18 août, 1948)—Proceedings of the Tenth International Congress of Philosophy (Amsterdam, August 11–18, 1948), North-Holland Publishing Company, Amsterdam1949, pp. 803–805.	1950	14	4	248-248	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Zygmunt Zawirski. Uwagi o metodzie nauk przyrodniczych. Przeglad filozoficzny, vol. 44 (1948), pp. 315–318. - Jean Cavaillès. Sur la logique et la théorie de la science. Presses Universitaires de France, Paris1947, VIII + 78 pp. - G. Canguilhem and Ch. Ehresmann. Avertissement des éditeurs. Therein, pp. V–VIII.	1950	14	4	248-249	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Paul Ziff	Arthur Pap. Logical nonsense. Philosophy and phenomenological research, vol. 9 no. 2 (1948), pp. 269–283.	1950	14	4	249-250	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black; Gustav Bergmann	Concerning Carnap's Definition of `Extensional' and `Intensional.'	1950	14	4	249	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Max Black	Felix Kaufmann. Rudolf Carnap's analysis of ‘truth.’Philosophy and phenomenological research, vol. 9 no. 2 (1948), pp. 294–299. - Rudolf Carnap. Reply to Felix Kaufmann. Philosophy and phenomenological research, vol. 9 no. 2 (1948), pp. 300–304.	1950	14	4	249-249	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Felix Kaufmann. Three meanings of “truth.”The journal of philosophy, vol. 45 (1948), pp. 337–350.	1950	14	4	249-249	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Max Black	Morton G. White. On the Church-Frege solution of the paradox of analysis. Philosophy and phenomenological research, vol. 9 no. 2 (1948), pp. 305–308.	1950	14	4	249-249	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Max Black; Morton G. White	On the Church-Frege Solution of the Paradox of Analysis.	1950	14	4	249	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
Mieczysław Choynowski	Everett J. Nelson. The relation of logic to metaphysics. The philosophical review, vol. 58 (1949), pp. 1–11. Reprinted, with addition of a Spanish abstract in Philosophy and phenomenological research, vol. 9 no. 3 (1949), pp. 609–619. - Alice Ambrose. Everett J. Nelson on “the relation of logic to metaphysics.”The philosophical review, vol. 58 (1949), pp. 12–15. - Everett W. Hall. The metaphysics of logic. The philosophical review, vol. 58 (1949), pp. 16–25. - Ernest Nagel. In defense of logic without metaphysics. The philosophical review, vol. 58 (1949), pp. 26–34.	1950	14	4	250-253	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Roderick M. Chisholm	Uuno Saarnio. Der Begriff des Guten. Theoria, vol. 14 (1948), pp. 68–83.	1950	14	4	250-250	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Robert E. Luce	Heinrich Scholz. Logik, Grammatik, Metaphysik. Archiv für Rechts- und Sozial-Philosophie, vol. 36, no. 3 (1944), pp. 393–433. Reprinted in Archiv für Philosophie (Stuttgart), no. 1 (1947), pp. 39–80.	1950	14	4	253-254	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Robert E. Luce	Jürgen V. Kempski. Bemerkungen zu Heinrich Scholz' Grundlegung der Metaphysik. Archiv für Philosophie, no. 2 (1948), pp. 112–124.	1950	14	4	254-254	review	philosophy, language, and inductive logic	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Michel Cazin. Algorilhmes et théories physiques. Comptes rendus hebdomadaires des séances de l'Académie des Sciences (Paris), vol. 224 (1947), pp. 541–543.	1950	14	4	254-255	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Charles A. Baylis	R. I. Aaron. Our knowledge of universale. Proceedings of the British Academy, vol. 31. Published also as a separate pamphlet by Humphry Milford, London1945, 28 pp.	1950	14	4	254-254	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Jean-Louis Destouches. Quelques aspects théoriques de la notion de complémentarité. Dialectics vol. 2 (1948), pp. 351–381. Abstracts in French and English, ibid., pp. 381–382.	1950	14	4	255-255	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	P. S. Novikov. O klassah régulárnosti (On regularity classes). Doklady Akadémii Nauk SSSR, vol. 64 (1949), pp. 293–295.	1950	14	4	255-256	review	set theory and foundations	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel	Paulette Destouches-Février. Adéquation et développement dialectique des théories physiques. Comptes rendus hebdomadaires des stances de l'Académie des Sciences (Paris), vol. 224 (1947), pp. 803–805.	1950	14	4	255-255	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Carl G. Hempel; Jean-Louis Destouches	Quelques Aspects Theoriques de la Notion de Notion de Complementarite.	1950	14	4	255	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
Andrzej Mostowski	P. S. Novikov. Ob aksiomé polnoj indukcii (On the axiom of complete induction). Doklady Akadémii Nauk SSSR, vol. 64 (1949), pp. 457–459.	1950	14	4	256-257	review	proof theory and formal systems	review-of-record entry reached			metadata only; full text not reached
W. Ackermann	Alfred Tarski. Axiomatic and algebraic aspects of two theorems on sums of cardinals. Ebd., S. 79–104.	1950	14	4	257-258	review	algebraic logic	review-of-record entry reached			metadata only; full text not reached
W. Ackermann	Andrzej Mostowski. On the principle of dependent choices. Fundamenta mathematicae Bd. 35 (1948), S. 127–130.	1950	14	4	257-257	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. V. Quine	José Tola Pasquel. Sobre una cierta generalización de la noción de equivalencia. Revista de ciencias (Lima), vol. 50 (1948), pp. 205–213.	1950	14	4	257-257	review	unclassified from title metadata	review-of-record entry reached			metadata only; full text not reached
W. Ackermann	Frederic B. Fitch. On natural numbers, integers, and rationals. The journal of symbolic logic, Bd. 14 (1949), S. 81–84.	1950	14	4	258-258	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
J. Barkley Rosser	N. Bourbaki. Foundations of mathematics for the working mathematician. The journal of symbolic logic, Bd. 14 (1949), S. pp. 1–8.	1950	14	4	258-259	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
Burton Spencer Dreben	J. B. Rosser and A. R. Turquette. Axiom schemes for m-valued functional calculi of first order. Part I. Definition of axiom schemes and proof of plausibility. The journal of symbolic logic, vol. 13 (1948), pp. 177–192.	1950	14	4	259-260	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Martin Davis	Marshall Hall Jr. The word problem for semigroups with two generators. The journal of symbolic logic, Bd. 14 (1949), S. pp. 115–118.	1950	14	4	259-259	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
J. C. C. McKinsey	Gustav Bergmann. A syntactical characterization of S5. The journal of symbolic logic, vol. 14 (1949), pp. 173–174.	1950	14	4	260-260	review	propositional, many-valued, and modal logic	review-of-record entry reached			metadata only; full text not reached
Paul Bernays	John R. Myhill. Note on an idea of Fitch. The journal of symbolic logic, vol. 14 (1949), pp. 175–176.	1950	14	4	260-261	review	general mathematical logic	review-of-record entry reached			metadata only; full text not reached
