timestamp,timestamp_raw,topic,page,project,views
2026-03-14T00:00:00Z,2026031400,science,Artificial_intelligence,en.wikipedia,182529
2026-03-15T00:00:00Z,2026031500,science,Artificial_intelligence,en.wikipedia,129747
2026-03-14T00:00:00Z,2026031400,crisis,Climate_change,en.wikipedia,2438
2026-03-15T00:00:00Z,2026031500,crisis,Climate_change,en.wikipedia,2619
2026-03-14T00:00:00Z,2026031400,politics,Donald_Trump,en.wikipedia,68021
2026-03-15T00:00:00Z,2026031500,politics,Donald_Trump,en.wikipedia,65116
2026-03-14T00:00:00Z,2026031400,crisis,Gaza_Strip,en.wikipedia,4383
2026-03-15T00:00:00Z,2026031500,crisis,Gaza_Strip,en.wikipedia,4847
2026-03-14T00:00:00Z,2026031400,science,OpenAI,en.wikipedia,7502
2026-03-15T00:00:00Z,2026031500,science,OpenAI,en.wikipedia,6909
2026-03-14T00:00:00Z,2026031400,science,Physics,en.wikipedia,3303
2026-03-15T00:00:00Z,2026031500,science,Physics,en.wikipedia,2378
2026-03-14T00:00:00Z,2026031400,politics,Russia,en.wikipedia,13762
2026-03-15T00:00:00Z,2026031500,politics,Russia,en.wikipedia,13829
2026-03-14T00:00:00Z,2026031400,culture,Taylor_Swift,en.wikipedia,16111
2026-03-15T00:00:00Z,2026031500,culture,Taylor_Swift,en.wikipedia,16498
2026-03-14T00:00:00Z,2026031400,crisis,Ukraine,en.wikipedia,7789
2026-03-15T00:00:00Z,2026031500,crisis,Ukraine,en.wikipedia,8457
2026-03-14T00:00:00Z,2026031400,politics,United_States,en.wikipedia,37693
2026-03-15T00:00:00Z,2026031500,politics,United_States,en.wikipedia,38665
2026-03-14T00:00:00Z,2026031400,culture,Wikipedia,en.wikipedia,38910
2026-03-15T00:00:00Z,2026031500,culture,Wikipedia,en.wikipedia,43845
2026-03-14T00:00:00Z,2026031400,culture,YouTube,en.wikipedia,49531
2026-03-15T00:00:00Z,2026031500,culture,YouTube,en.wikipedia,62489
